epoch,phase,loss,acc,lr,epoch_time_s,eval_time_s,early_stop_triggered,best_val_acc,best_epoch
1,train+val,0.088306/0.024646,0.965964/0.990899,0.0001,1846.0237128734589,80.27644538879395,,,
2,train+val,0.039000/0.018912,0.985555/0.992607,0.0001,1870.3517191410065,79.7724289894104,,,
3,train+val,0.029935/0.015032,0.988655/0.994021,0.0001,1969.6497688293457,79.43277740478516,,,
4,train+val,0.025197/0.015329,0.990498/0.993923,0.0001,1848.7074723243713,81.80998873710632,,,
5,train+val,0.021531/0.013079,0.991804/0.994820,0.0001,1843.5859179496765,81.08507084846497,,,
6,train+val,0.019628/0.012144,0.992606/0.995338,0.0001,1837.003279209137,79.0071930885315,,,
7,train+val,0.017507/0.013765,0.993330/0.995198,0.0001,1834.3139066696167,78.54745030403137,,,
8,train+val,0.016165/0.011924,0.993903/0.995380,0.0001,1831.8619129657745,78.66016840934753,,,
9,train+val,0.015015/0.013817,0.994313/0.995828,0.0001,1831.758155822754,79.26427030563354,,,
10,train+val,0.013767/0.013452,0.994891/0.995562,0.0001,1830.8054025173187,78.50331449508667,,,
11,train+val,0.012966/0.011760,0.995090/0.995996,0.0001,1830.7815029621124,79.04675602912903,,,
12,train+val,0.012179/0.012244,0.995533/0.995856,0.0001,1830.9946281909943,78.87047243118286,,,
